type_etablissement,ref_region,region,province,commune,milieu,type_etablissement_detail,nom_etablissement,propriete,adresse,date_creation,date_renovation,superficie_m2,capacite_accueil,effectif,etat_etablissement,entite_gestionnaire,espace_amenage_m2,titre_foncier,etat_batiment,etat_equipements,nb_personnel_jeunesse,province_id
Jeunesse ,6,Casablanca-Settat,SETTAT,Ben ahmed,Urbain,CSP B,Centre socio sportif de proximité TYPE B,mjcc,Quartier Derb Si Hamou Ben Ahmed,2014.0,2020.0,3000.0,400.0,4030.0,Opérationnel,MJCC,449.0,2137C,Mauvais,Mauvais,0,MA-SET
Jeunesse ,6,Casablanca-Settat,SETTAT,Guisser,Rural,CSP B,Centre socio sportif de proximité TYPE B,mjcc,Centre Commune guisser,2014.0,2020.0,3599.0,400.0,3200.0,Opérationnel,MJCC,542.0,15/28667,Mauvais,Mauvais,0,MA-SET
Jeunesse ,6,Casablanca-Settat,SETTAT,Sidi alaidi,Rural,CSP B,Centre socio sportif de proximité TYPE B,mjcc,Centre Commune Sidi al aidi,2014.0,2021.0,4069.0,400.0,2070.0,Opérationnel,MJCC,490.0,15/19151,Médiocre,Médiocre,1,MA-SET
Jeunesse ,6,Casablanca-Settat,SETTAT,Loulad,Urbain,CSP B,Centre socio sportif de proximité TYPE B,mjcc,Centre commune loulad,2017.0,2021.0,2860.0,400.0,2400.0,Opérationnel,MJCC,571.0,R3388/15,Moyen,Moyen,1,MA-SET
Jeunesse ,6,Casablanca-Settat,SETTAT,ouled mrah ,Urbain,CSP B,Centre socio sportif de proximité TYPE B,mjcc,Centre commune oulad mrah,2019.0,2021.0,3316.0,400.0,3100.0,Opérationnel,MJCC,570.0,R36691,Moyen,Moyen,1,MA-SET
Jeunesse ,6,Casablanca-Settat,Mohammedia,Hay Mohammadi,Urbain,CSP A,CSP A Hay Mohammadi,communal,Bd Jaafar el Barmaqi Hay Mohammadi,2013.0,2016.0,9998.0,300.0,160.0,Opérationnel,MJCC,636.36,C/8088,Mauvais,Mauvais,2,MA-MOH
Jeunesse ,6,Casablanca-Settat,Mohammedia,Ain Sebaa,Urbain,CSP B,CSP B La Princesse Lalla Asmae Ain Sebaa,communal,Hay Beausite Ain Sebaa,2011.0,2014.0,3000.0,180.0,100.0,Opérationnel,MJCC,500.0,Commune,Mauvais,Mauvais,1,MA-MOH
Jeunesse ,6,Casablanca-Settat,Berrechid,Berrechid,Urbain,CSP A,CSPI MY RACHID,mjs,CSPI MY RACHID -Berrechid,2010.0,2020.0,2890.0,200.0,400.0,Opérationnel,MJCC,1500.0,4693/D,Mauvais,Moyen,4,MA-BRR
Jeunesse ,6,Casablanca-Settat,El Jadida,lbirjdid,Urbain,CSP A,CSP Type A Birjedid,domanial,Quartier Administratif  Birjedid,2014.0,2021.0,4500.0,100.0,1400.0,Opérationnel,MJCC,1200.0,,Moyen,Moyen,1,MA-JDI
Jeunesse ,6,Casablanca-Settat,Benslimane,Benslimane,Urbain,CSP Type A,CSP Lalla Meryem,alomrane,Hay Lalla Meriem Bloc B,2011.0,2021.0,6080.0,150.0,320.0,Opérationnel,MJCC,6080.0,8320/C,Moyen,Moyen,1,MA-BES
Jeunesse ,6,Casablanca-Settat,Benslimane,Benslimane,Urbain,CSP Type A,CSP Prince Moulay Hassan II,mjcc,Avenue Lalla Aicha quartier les jardins,2010.0,2021.0,5000.0,150.0,616.0,Opérationnel,MJCC,5000.0,434/25,Moyen,Moyen,2,MA-BES
Jeunesse ,6,Casablanca-Settat,Benslimane,Bouznika,Urbain,CSP Type A,CSP Hay Essalam,alomrane,Hay Essalam 1,2011.0,2021.0,4690.0,150.0,88.0,Opérationnel,MJCC,4690.0,15803/25,Moyen,Moyen,1,MA-BES
Jeunesse ,6,Casablanca-Settat,Nouaceur, bouskoura ,Rural,Complexe Socio-sportif,izdihar bouskoura,privé alomrane,izdihar bouskoura ,2014.0,,950.0,150.0,1.0,Opérationnel,DEPARTEMENT JEUNESSE,950.0,TF3405/47,Mauvais,Médiocre,1,MA-NOU
Jeunesse ,6,Casablanca-Settat,Nouaceur,ouled saleh ,Rural,Complexe Socio-sportif,NASSR,mjcc,victoria OULAD SALEH CENTRE,2020.0,,2384.0,200.0,1.0,Opérationnel,DEPARTEMENT JEUNESSE,2384.0,TF_COMMUN,Bon,Moyen,0,MA-NOU
Jeunesse ,6,Casablanca-Settat,Nouaceur,NOUACEUR,Rural,Complexe Socio-sportif,nouaceur,mjcc,NOUACEUR CENTRE,2018.0,,11400.0,500.0,1.0,Opérationnel,DEPARTEMENT JEUNESSE,1152.0,T46109/C,Moyen,Moyen,1,MA-NOU
Jeunesse ,6,Casablanca-Settat,Nouaceur,Ain-Chock,Urbain,Complexe Socio-sportif,SIDI MAAROUF,mjcc,NEARSHORE AIN CHOQ,2011.0,2020.0,5500.0,500.0,1.0,Opérationnel,DEPARTEMENT JEUNESSE,1924.017142857143,42383/C,Moyen,Moyen,1,MA-NOU
Jeunesse ,6,Casablanca-Settat,Nouaceur,Ain-Chock,Urbain,Complexe Socio-sportif,AL MOSTAKBAL,communal,M0STAKBAL SIDI MAAROUF ,2011.0,2020.0,2300.0,100.0,1.0,Opérationnel,DEPARTEMENT JEUNESSE,1924.017142857143,TF37381,Mauvais,Mauvais,0,MA-NOU
Jeunesse ,6,Casablanca-Settat,Mohammedia,AinHarrouda,Urbain,CSP A,CSP Dakhla Ain Harrouda,communal,hay dakhla ain harrouda -mohammedia,2011.0,2017.0,4800.0,120.0,150.0,En cours d'opérationnalisation - Prêt avec besoins/conditions,MJCC,750.0,5086/49,Mauvais,Mauvais,2,MA-MOH
Jeunesse ,6,Casablanca-Settat,Mohammedia,MOHAMMEDIA,Urbain,CSP A,CSP ryad Assalam,domaine de l'etat,quartier ryad salam mohammedia,2015.0,2021.0,4000.0,160.0,360.0,Opérationnel,MJCC,1050.0,19569/26,Bon,Moyen,1,MA-MOH
Jeunesse ,6,Casablanca-Settat,Mohammedia,sidimoussamajdoub,Rural,CSP B,CSP El Fath 1,ste idmaje skan,hay El Fath sidi moussa El Majdoube-Mohammedia,2015.0,,2461.0,130.0,240.0,En cours d'opérationnalisation - Prêt avec besoins/conditions,MJCC,580.0,9503/C,Bon,Moyen,1,MA-MOH
Jeunesse ,6,Casablanca-Settat,Mohammedia,bniyakhlef,Urbain,CSP A,CSP BENI YAKHLEF,domaine de l'etat,Bayti sakan Béni Yakhlef,2018.0,,6312.0,140.0,,Opérationnel,MJCC,5200.0,26/44211,Bon,Moyen,1,MA-MOH
Jeunesse ,6,Casablanca-Settat,Mohammedia,ech-challalate,Rural,CSP B,CSP Azzaytoune,communal,"Lotissement  Azzaytoune
chellalate ",2018.0,,2160.0,120.0,180.0,En cours d'opérationnalisation - Prêt avec besoins/conditions,MJCC,610.0,34467/20 et 30754C,Bon,Moyen,1,MA-MOH
Jeunesse ,6,Casablanca-Settat,Sidi Bennour,sidibennour,Urbain,CSP A,CSP ZMAMRA URBAIN,ministere,COMMUNE  ZMAMRA ,2013.0,2019.0,7300.0,400.0,200.0,Opérationnel,MJCC,5500.0,COMMUNE,Bon,Bon,0,MA-SIB
